client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280442.mp3	011bb1d5bdc86d32c786f420092fbe6827fc68affaa643dc18e507469c8555d7	BƐYƐ mfe aduɔwɔtwe ni na Nyan!		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280467.mp3	01e77cb621f766d4ef9b18da4e20fe6269e1e8277156fdf601f8310b405d5e18	Nnipa a wɔte saa di nsɛmmɔne.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280490.mp3	01f243dffde8df79b813a9dd0dd5495cb0a6e7b620207d23ab4c0b5e5b887e6c	Dɛn na Asamoah nya efiri adwuma a ɔreyɛ no nyinaa?		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292344.mp3	012369d72d571be111f8a21b8ba9e50d47f30201a5924855c15e36c04e2ef14e	Abeawa no guare wɔ ɔtare no mu ne me papa nua ba.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292345.mp3	00f9718bc676140a3c96080532f0255749d98883a05ec0957a59ec71a9dd7c42	Sɛ wotutu nnyinaso no ase a, ɛka dan mũ no nyinaa.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292353.mp3	0283e0f1c650e3e0aa403043fad61c1ddf5a8c10171fe68ecd68fea150423755	Bere bɛn na w'adamfo no fii hɔ kɔɔ Amerika?		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292365.mp3	02052e5883091978204fa0cf027547148958f0ee9646b9e646c8648ef4200b4a	Ɛho nhia sɛ yebisa hokwan.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292380.mp3	00cafce2a677b1b319e629e093d7b7b09073494702790ee3abc7dd028c4ae0d7	Ɛyɛ biribi a adifudepɛ nti ɛnhaw nnwumayɛkuw no sɛ wɔbɛyɛ.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292404.mp3	01a94c80bc4af0c11cec33f19b89a6181bbab98b7df987ba34e0909fa5bbf81b	Nea edi kan koraa no, nya awerɛhyem sɛ Onyankopɔn bo mfuw wo.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292408.mp3	008bb4c9990a7a649f1da82539df4440c5d125aecb69333d7d9ba4e2501e47ca	Dɛn nti na yebetumi anya ahotoso saa?		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292418.mp3	0300be45f26bccb93a04707592e08541cd21c0d175ec7cf706cc4a551575815e	Yɛn afotu ne sɛ adwumakuw no de nneɛma foforo di dwuma.		0	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35292420.mp3	01fb030a39de46f342718d0da98c2cb15f7ad80602fcdc076d6087da629701c2	Meredwen nnea enti a Asamoa baa ha nnɛ.		0	0	thirties	male_masculine	Native 		tw	
