client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280429.mp3	021de276a8e6e723e1091e292188f3a37aee5f27e88f1630d6db93455027675d	Ná m'ani nnye basabasayɛ ho.		4	0			Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280430.mp3	0270a90c75b90915f05933fdabb2ddd14a959597cd738e72797d8b2c0c693e85	Ɛnyɛ adammɔ.		4	0			Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280431.mp3	01d9300b127bf7a3db0571af544a89432c5fd44a1aa9e4a4fa421f193d86aab3	Wɔde Wɔn Dii Dwuma Wɔ Onyankopɔn Atirimpɔw Mmamu Mu		4	0			Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280432.mp3	0216f6bdbc126905dd31c8bfe1270821d15348051f01ef70c419d67477ba6e7e	Mmerante ani so yɛ hye sen mmeawa.		2	0			Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280433.mp3	01670ca3cb1e8d1727afce5b44aaef486eae4997eca5f5297379e71cf2dbca5f	Asiane bɛn na ɛwom?		2	0			Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280439.mp3	003ce8142dda08909849259741ea4ef4a782bc1b23973fe53aafb33750072c45	So eyi nyɛ ne kyinii?		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280440.mp3	00c59296aa241120714957d742b2ba2abae7dbc168b21da97b3545ab4321baeb	Efi atɔ ɔpon no so.		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280441.mp3	0221dda9aebd1e9aa23e5786271f0e1cd1b60450aa6efaedc6e870cb47c2fde8	Ɛyɛ ayaresabea yi na mekɔɔ hɔ bosome a etwaam no.		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280443.mp3	015216bc1095eb77fee295d7d343f16292f6bf4ea6620636cef2684fd0863192	Chien nyɛ Amerikani.		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280449.mp3	018911cf3a1dbf61832273691a95eb66869b7495d0ba3a75c61de875ce3b7d24	Ɔkaa sɛ: “ Sɛ motena m’asɛm mu a		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280450.mp3	00bb3efa1adc864b512503f08daf9b34add899752d9508f5458123d5f38e898c	Tammy ka sɛ: Yɛbɛn yɛn ho ara yiye.		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280451.mp3	020a6d0bc5e6ee87bc77fe610010be65f9c3a599b78229814e64d19543b236f3	Momma yɛnsan nkɔ yɛn akyi ansa na osu afi ase atɔ.		4	0	thirties	male_masculine	Native 		tw	
0ca034bbace1356d7186070ff11775fdf3d35ca54078cc21ca9df2ba3b095919da7cb031e0eb45c378148ca29a4ae7e3f0dcb7c687f4b8c0f1b04057b70a6497	common_voice_tw_35280452.mp3	00bb47726cc908d40fdfbabeea765c76185456a6a04bfe81224bce8e2c080b16	Sɛ awɔw a ano yɛ den ba a, Asamoah tia.		4	0	thirties	male_masculine	Native 		tw	
