common_voice_tw_41094461.wav|Nea ɛyɛ nwonwa no, eyi nso bɛdanee asɛm foforo — sɛ yɛsakra nkurɔfo!
common_voice_tw_34745954.wav|Dabi, ɛnte saa
common_voice_tw_40932710.wav|Me nte Asamoah hyehyɛyɛ ase.
common_voice_tw_40258530.wav|Ahoɔden bɛn na wonya fi aduaba yi di mu?
common_voice_tw_36831072.wav|Minnim nea Kwasi nim, nanso Kwasi nim nea minim.
common_voice_tw_36831073.wav|Dɛn na Bible ka wɔ ho?
common_voice_tw_36831074.wav|Woyɛ ɔbɔnefo.
common_voice_tw_40206815.wav|Yɛhyɛɛ no ma ogye toom sɛ ɔbɛyɛ.
common_voice_tw_40206819.wav|Da su pa adi.
common_voice_tw_40206828.wav|Ɛno na ɛboaa me.
common_voice_tw_34997393.wav|• Ma wo yere nhu sɛ wopene nufuma so.
common_voice_tw_34997394.wav|Dɛn na ɛno bɛkyerɛ?
common_voice_tw_34997398.wav|Ɛkaa abɔde ho nsɛm pii a ɛma yenya Yehowa dɔ ho anisɔ kɛse.
common_voice_tw_34997400.wav|Mekae saa asɛmfua yi.
common_voice_tw_34997402.wav|Dɛn na wopɛ sɛ wunya?
common_voice_tw_35280404.wav|Ɛyɛɛ no nwonwa ma obisaa me sɛ
common_voice_tw_35280405.wav|Sɛnea Asamoah gye di sɛ biribiara wɔ ne bere ne baabi.
common_voice_tw_35280406.wav|Mekyerɛkyerɛɛ mu sɛ Yehowa Adansefo nso hyɛ eyi ho nkuran.
common_voice_tw_35280407.wav|Bere a midii awia aduan wiei no, mesan kɔɔ adwumayɛbea hɔ.
common_voice_tw_35280408.wav|Wɔn mfe akɔ anim yiye.
common_voice_tw_35280429.wav|Ná m'ani nnye basabasayɛ ho.
common_voice_tw_35280430.wav|Ɛnyɛ adammɔ.
common_voice_tw_35280431.wav|Wɔde Wɔn Dii Dwuma Wɔ Onyankopɔn Atirimpɔw Mmamu Mu
common_voice_tw_35280432.wav|Mmerante ani so yɛ hye sen mmeawa.
common_voice_tw_35280433.wav|Asiane bɛn na ɛwom?
common_voice_tw_35280439.wav|So eyi nyɛ ne kyinii?
common_voice_tw_35280440.wav|Efi atɔ ɔpon no so.
common_voice_tw_35280441.wav|Ɛyɛ ayaresabea yi na mekɔɔ hɔ bosome a etwaam no.
common_voice_tw_35280443.wav|Chien nyɛ Amerikani.
common_voice_tw_35280449.wav|Ɔkaa sɛ: “ Sɛ motena m’asɛm mu a
